datetime,purpose_id,units,reading,upload_timestamp
1490709600.0,92,kW,0.0,1490753645.7590885
1490709900.0,92,kW,0.0,1490753645.7590885
1490710200.0,92,kW,0.0,1490753645.7590885
1490710500.0,92,kW,0.0,1490753645.7590885
1490710800.0,92,kW,0.0,1490753645.7590885
1490711100.0,92,kW,0.0,1490753645.7590885
1490711400.0,92,kW,0.0,1490753645.7590885
1490711700.0,92,kW,0.0,1490753645.7590885
1490712000.0,92,kW,0.0,1490753645.7590885
1490712300.0,92,kW,0.0,1490753645.7590885
1490712600.0,92,kW,0.0,1490753645.7590885
1490712900.0,92,kW,0.0,1490753645.7590885
1490713200.0,92,kW,0.0,1490753645.7590885
1490713500.0,92,kW,0.0,1490753645.7590885
1490713800.0,92,kW,0.0,1490753645.7590885
1490714100.0,92,kW,0.0,1490753645.7590885
1490714400.0,92,kW,0.0,1490753645.7590885
1490714700.0,92,kW,0.0,1490753645.7590885
1490715000.0,92,kW,0.0,1490753645.7590885
1490715300.0,92,kW,0.0,1490753645.7590885
1490715600.0,92,kW,0.0,1490753645.7590885
1490715900.0,92,kW,0.0,1490753645.7590885
1490716200.0,92,kW,0.0,1490753645.7590885
1490716500.0,92,kW,0.0,1490753645.7590885
1490716800.0,92,kW,0.0,1490753645.7590885
1490717100.0,92,kW,0.0,1490753645.7590885
1490717400.0,92,kW,0.0,1490753645.7590885
1490717700.0,92,kW,0.0,1490753645.7590885
1490718000.0,92,kW,0.0,1490753645.7590885
1490718300.0,92,kW,0.0,1490753645.7590885
1490718600.0,92,kW,0.0,1490753645.7590885
1490718900.0,92,kW,0.0,1490753645.7590885
1490719200.0,92,kW,0.0,1490753645.7590885
1490719500.0,92,kW,0.0,1490753645.7590885
1490719800.0,92,kW,0.0,1490753645.7590885
1490720100.0,92,kW,0.0,1490753645.7590885
1490720400.0,92,kW,0.0,1490753645.7590885
1490720700.0,92,kW,0.0,1490753645.7590885
1490721000.0,92,kW,0.0,1490753645.7590885
