node,sensor,unit,timestamp,value
frog-2,light,lux,1488253500.0,68.1
frog-2,light,lux,1488253800.0,86.1
frog-2,light,lux,1488254100.0,64.6
frog-2,light,lux,1488254400.0,68.1
frog-2,light,lux,1488254700.0,61.0
frog-2,light,lux,1488255000.0,54.0
frog-2,light,lux,1488255300.0,68.3
frog-2,light,lux,1488255600.0,75.4
frog-2,light,lux,1488255900.0,3.8
frog-2,light,lux,1488256200.0,5.4
frog-2,light,lux,1488256500.0,5.3
frog-2,light,lux,1488256800.0,5.8
frog-2,light,lux,1488257100.0,11.9
frog-2,light,lux,1488257400.0,5.1
frog-2,light,lux,1488257700.0,14.2
frog-2,light,lux,1488258000.0,10.3
frog-2,light,lux,1488258300.0,1.2
frog-2,light,lux,1488258600.0,9.4
frog-2,light,lux,1488258900.0,3.8
frog-2,light,lux,1488259200.0,9.3
frog-2,light,lux,1488259500.0,4.5
frog-1,light,lux,1488189600.0,4.9
frog-1,light,lux,1488189900.0,6.9
frog-1,light,lux,1488190200.0,0.0
frog-1,light,lux,1488190500.0,14.0
frog-1,light,lux,1488190800.0,14.6
frog-1,light,lux,1488191100.0,12.3
frog-1,light,lux,1488191400.0,0.0
frog-1,light,lux,1488191700.0,0.0
frog-1,light,lux,1488192000.0,5.8
frog-1,light,lux,1488192300.0,0.7
frog-1,light,lux,1488192600.0,14.6
frog-1,light,lux,1488192900.0,2.3
frog-1,light,lux,1488193200.0,0.0
frog-1,light,lux,1488193500.0,0.4
frog-1,light,lux,1488193800.0,0.0
frog-1,light,lux,1488194100.0,0.0
frog-1,light,lux,1488194400.0,11.4
frog-1,light,lux,1488194700.0,3.7
frog-1,light,lux,1488195000.0,12.5
frog-1,light,lux,1488195300.0,0.0
frog-1,light,lux,1488195600.0,0.0
frog-1,light,lux,1488195900.0,0.0
frog-1,light,lux,1488196200.0,9.2
frog-1,light,lux,1488196500.0,9.4
frog-1,light,lux,1488196800.0,14.5
frog-1,light,lux,1488197100.0,11.7
frog-1,light,lux,1488197400.0,14.4
frog-1,light,lux,1488197700.0,13.3
frog-1,light,lux,1488198000.0,0.0
frog-1,light,lux,1488198300.0,0.0
frog-1,light,lux,1488198600.0,10.3
frog-1,light,lux,1488198900.0,5.1
frog-1,light,lux,1488199200.0,0.0
frog-1,light,lux,1488199500.0,5.0
frog-1,light,lux,1488199800.0,7.6
frog-1,light,lux,1488200100.0,7.5
frog-1,light,lux,1488200400.0,8.9
frog-1,light,lux,1488200700.0,0.0
frog-1,light,lux,1488201000.0,11.4
frog-1,light,lux,1488201300.0,14.6
frog-1,light,lux,1488201600.0,0.2
frog-1,light,lux,1488201900.0,0.0
frog-1,light,lux,1488202200.0,14.5
frog-1,light,lux,1488202500.0,9.4
frog-1,light,lux,1488202800.0,4.3
frog-1,light,lux,1488203100.0,9.1
frog-1,light,lux,1488203400.0,14.3
frog-1,light,lux,1488203700.0,4.0
frog-1,light,lux,1488204000.0,13.4
frog-1,light,lux,1488204300.0,7.2
frog-1,light,lux,1488204600.0,0.9
frog-1,light,lux,1488204900.0,14.2
frog-1,light,lux,1488205200.0,5.9
frog-1,light,lux,1488205500.0,0.0
frog-1,light,lux,1488205800.0,14.3
frog-1,light,lux,1488206100.0,4.4
frog-1,light,lux,1488206400.0,6.9
frog-1,light,lux,1488206700.0,4.3
frog-1,light,lux,1488207000.0,6.7
frog-1,light,lux,1488207300.0,3.6
frog-1,light,lux,1488207600.0,0.0
frog-1,light,lux,1488207900.0,12.0
frog-1,light,lux,1488208200.0,6.6
frog-1,light,lux,1488208500.0,2.3
frog-1,light,lux,1488208800.0,7.5
frog-1,light,lux,1488209100.0,0.0
frog-1,light,lux,1488209400.0,10.8
frog-1,light,lux,1488209700.0,10.8
frog-1,light,lux,1488210000.0,13.4
frog-1,light,lux,1488210300.0,10.6
frog-1,light,lux,1488210600.0,0.0
frog-1,light,lux,1488210900.0,14.1
frog-1,light,lux,1488211200.0,1.9
frog-1,light,lux,1488211500.0,5.3
frog-1,light,lux,1488211800.0,1.3
frog-1,light,lux,1488212100.0,9.9
frog-1,light,lux,1488212400.0,4.7
frog-1,light,lux,1488212700.0,9.9
frog-1,light,lux,1488213000.0,11.0
frog-1,light,lux,1488213300.0,4.0
frog-1,light,lux,1488213600.0,7.3
frog-1,light,lux,1488213900.0,0.0
frog-1,light,lux,1488214200.0,0.0
frog-1,light,lux,1488214500.0,16.3
frog-1,light,lux,1488214800.0,0.3
frog-1,light,lux,1488215100.0,0.0
frog-1,light,lux,1488215400.0,4.6
frog-1,light,lux,1488215700.0,7.1
frog-1,light,lux,1488216000.0,27.9
frog-1,light,lux,1488216300.0,12.3
frog-1,light,lux,1488216600.0,22.9
frog-1,light,lux,1488216900.0,35.5
frog-1,light,lux,1488217200.0,21.8
frog-1,light,lux,1488217500.0,37.8
frog-1,light,lux,1488217800.0,52.7
frog-1,light,lux,1488218100.0,44.8
frog-1,light,lux,1488218400.0,50.8
frog-1,light,lux,1488218700.0,74.0
frog-1,light,lux,1488219000.0,63.7
frog-1,light,lux,1488219300.0,82.2
frog-1,light,lux,1488219600.0,82.9
frog-1,light,lux,1488219900.0,84.2
frog-1,light,lux,1488220200.0,96.7
frog-1,light,lux,1488220500.0,92.5
frog-1,light,lux,1488220800.0,95.3
frog-1,light,lux,1488221100.0,81.7
frog-1,light,lux,1488221400.0,88.9
frog-1,light,lux,1488221700.0,64.4
frog-1,light,lux,1488222000.0,82.3
frog-1,light,lux,1488222300.0,69.7
frog-1,light,lux,1488222600.0,83.5
frog-1,light,lux,1488222900.0,98.0
frog-1,light,lux,1488223200.0,117.7
frog-1,light,lux,1488223500.0,111.7
frog-1,light,lux,1488223800.0,127.9
frog-1,light,lux,1488224100.0,129.2
frog-1,light,lux,1488224400.0,134.4
frog-1,light,lux,1488224700.0,136.0
frog-1,light,lux,1488225000.0,122.5
frog-1,light,lux,1488225300.0,146.4
frog-1,light,lux,1488225600.0,139.1
frog-1,light,lux,1488225900.0,165.3
frog-1,light,lux,1488226200.0,162.5
frog-1,light,lux,1488226500.0,175.6
frog-1,light,lux,1488226800.0,156.5
frog-1,light,lux,1488227100.0,167.3
frog-1,light,lux,1488227400.0,182.8
frog-1,light,lux,1488227700.0,215.0
frog-1,light,lux,1488228000.0,198.9
frog-1,light,lux,1488228300.0,180.1
frog-1,light,lux,1488228600.0,183.2
frog-1,light,lux,1488228900.0,180.6
frog-1,light,lux,1488229200.0,172.6
frog-1,light,lux,1488229500.0,193.8
frog-1,light,lux,1488229800.0,183.0
frog-1,light,lux,1488230100.0,200.7
frog-1,light,lux,1488230400.0,209.4
frog-1,light,lux,1488230700.0,186.0
frog-1,light,lux,1488231000.0,200.4
frog-1,light,lux,1488231300.0,192.2
frog-1,light,lux,1488231600.0,215.0
frog-1,light,lux,1488231900.0,219.7
frog-1,light,lux,1488232200.0,212.0
frog-1,light,lux,1488232500.0,205.7
frog-1,light,lux,1488232800.0,202.1
frog-1,light,lux,1488233100.0,182.0
frog-1,light,lux,1488233400.0,217.8
frog-1,light,lux,1488233700.0,189.5
frog-1,light,lux,1488234000.0,173.5
frog-1,light,lux,1488234300.0,185.5
frog-1,light,lux,1488234600.0,202.2
frog-1,light,lux,1488234900.0,128.7
frog-1,light,lux,1488235200.0,136.4
frog-1,light,lux,1488235500.0,197.0
frog-1,light,lux,1488235800.0,200.6
frog-1,light,lux,1488236100.0,124.0
frog-1,light,lux,1488236400.0,164.9
frog-1,light,lux,1488236700.0,169.0
frog-1,light,lux,1488237000.0,170.1
frog-1,light,lux,1488237300.0,150.8
frog-1,light,lux,1488237600.0,175.8
frog-1,light,lux,1488237900.0,164.0
frog-1,light,lux,1488238200.0,183.6
frog-1,light,lux,1488238500.0,197.7
frog-1,light,lux,1488238800.0,151.0
frog-1,light,lux,1488239100.0,153.8
frog-1,light,lux,1488239400.0,171.8
frog-1,light,lux,1488239700.0,158.9
frog-1,light,lux,1488240000.0,159.6
frog-1,light,lux,1488240300.0,163.5
frog-1,light,lux,1488240600.0,174.3
frog-1,light,lux,1488240900.0,166.9
frog-1,light,lux,1488241200.0,166.6
frog-1,light,lux,1488241500.0,179.5
frog-1,light,lux,1488241800.0,192.4
frog-1,light,lux,1488242100.0,152.3
frog-1,light,lux,1488242400.0,125.0
frog-1,light,lux,1488242700.0,165.4
frog-1,light,lux,1488243000.0,148.2
frog-1,light,lux,1488243300.0,168.6
frog-1,light,lux,1488243600.0,145.4
frog-1,light,lux,1488243900.0,145.7
frog-1,light,lux,1488244200.0,117.7
frog-1,light,lux,1488244500.0,145.1
frog-1,light,lux,1488244800.0,141.2
frog-1,light,lux,1488245100.0,145.7
frog-1,light,lux,1488245400.0,151.2
frog-1,light,lux,1488245700.0,144.8
frog-1,light,lux,1488246000.0,123.0
frog-1,light,lux,1488246300.0,153.1
frog-1,light,lux,1488246600.0,139.0
frog-1,light,lux,1488246900.0,144.2
frog-1,light,lux,1488247200.0,146.3
frog-1,light,lux,1488247500.0,136.0
frog-1,light,lux,1488247800.0,130.7
frog-1,light,lux,1488248100.0,118.9
frog-1,light,lux,1488248400.0,117.4
frog-1,light,lux,1488248700.0,132.8
frog-1,light,lux,1488249000.0,145.1
frog-1,light,lux,1488249300.0,136.6
frog-1,light,lux,1488249600.0,117.4
frog-1,light,lux,1488249900.0,114.0
frog-1,light,lux,1488250200.0,119.1
frog-1,light,lux,1488250500.0,133.7
frog-1,light,lux,1488250800.0,124.8
frog-1,light,lux,1488251100.0,101.8
frog-1,light,lux,1488251400.0,119.8
frog-1,light,lux,1488251700.0,122.8
frog-1,light,lux,1488252000.0,94.1
frog-1,light,lux,1488252300.0,88.2
frog-1,light,lux,1488252600.0,91.5
frog-1,light,lux,1488252900.0,86.9
frog-1,light,lux,1488253200.0,102.0
frog-1,light,lux,1488253500.0,75.6
frog-1,light,lux,1488253800.0,93.6
frog-1,light,lux,1488254100.0,70.9
frog-1,light,lux,1488254400.0,72.1
frog-1,light,lux,1488254700.0,84.9
frog-1,light,lux,1488255000.0,70.5
frog-1,light,lux,1488255300.0,69.4
frog-1,light,lux,1488255600.0,67.3
frog-1,light,lux,1488255900.0,71.8
frog-1,light,lux,1488256200.0,74.1
frog-1,light,lux,1488256500.0,60.3
frog-1,light,lux,1488256800.0,60.3
frog-1,light,lux,1488257100.0,74.5
frog-1,light,lux,1488257400.0,81.0
frog-1,light,lux,1488257700.0,57.4
frog-1,light,lux,1488258000.0,56.1
frog-1,light,lux,1488258300.0,57.7
frog-1,light,lux,1488258600.0,5.4
frog-1,light,lux,1488258900.0,10.0
frog-1,light,lux,1488259200.0,12.1
frog-1,light,lux,1488259500.0,7.4
