sensor_id,datetime,value
1,1488409500.0,72.7
1,1488409800.0,65.1
1,1488410100.0,50.3
1,1488410400.0,69.9
1,1488410700.0,27.9
1,1488411000.0,84.4
1,1488411300.0,96.1
1,1488411600.0,112.6
1,1488411900.0,82.3
1,1488412200.0,84.2
1,1488412500.0,86.9
1,1488412800.0,127.9
1,1488413100.0,115.3
1,1488413400.0,91.2
1,1488413700.0,110.9
1,1488414000.0,138.2
1,1488414300.0,111.2
1,1488414600.0,101.6
1,1488414900.0,80.6
1,1488415200.0,95.9
1,1488415500.0,98.5
1,1488415800.0,108.1
1,1488416100.0,120.4
1,1488416400.0,149.3
1,1488416700.0,145.7
1,1488417000.0,159.9
1,1488417300.0,111.0
1,1488417600.0,115.1
1,1488417900.0,119.1
1,1488418200.0,140.9
1,1488418500.0,171.6
1,1488418800.0,97.7
1,1488419100.0,52.6
1,1488419400.0,47.2
1,1488419700.0,51.1
1,1488420000.0,72.6
1,1488420300.0,53.4
1,1488420600.0,33.5
1,1488420900.0,26.1
1,1488421200.0,19.8
1,1488421500.0,32.9
1,1488421800.0,20.8
1,1488422100.0,32.7
1,1488422400.0,23.7
1,1488422700.0,28.2
1,1488423000.0,33.9
1,1488423300.0,26.1
1,1488423600.0,23.2
1,1488423900.0,36.0
1,1488424200.0,20.4
1,1488424500.0,17.0
1,1488424800.0,19.0
1,1488425100.0,4.8
1,1488425400.0,10.7
1,1488425700.0,9.5
1,1488426000.0,26.4
1,1488426300.0,40.7
1,1488426600.0,23.2
1,1488426900.0,27.3
1,1488427200.0,26.8
1,1488427500.0,7.1
1,1488427800.0,2.2
1,1488428100.0,6.1
1,1488428400.0,17.2
1,1488428700.0,9.3
1,1488429000.0,14.6
1,1488429300.0,15.2
1,1488429600.0,0.0
1,1488429900.0,0.0
1,1488430200.0,1.3
1,1488430500.0,14.1
1,1488430800.0,7.8
1,1488431100.0,14.6
1,1488431400.0,0.9
1,1488431700.0,14.3
1,1488432000.0,11.6
1,1488432300.0,0.0
1,1488432600.0,14.3
1,1488432900.0,13.1
1,1488433200.0,3.0
1,1488433500.0,0.0
1,1488433800.0,12.2
1,1488434100.0,14.3
