sensor_id,datetime,value
light,1488386700.0,12.2
light,1488387000.0,2.4
light,1488387300.0,14.3
light,1488387600.0,3.4
light,1488387900.0,3.2
light,1488388200.0,0.0
light,1488388500.0,1.4
light,1488388800.0,2.4
light,1488389100.0,5.3
light,1488389400.0,8.8
light,1488389700.0,16.7
light,1488390000.0,17.5
light,1488390300.0,18.2
light,1488390600.0,2.9
light,1488390900.0,10.8
light,1488391200.0,13.4
light,1488391500.0,38.1
light,1488391800.0,24.5
light,1488392100.0,41.3
light,1488392400.0,46.5
light,1488392700.0,108.1
light,1488393000.0,96.5
light,1488393300.0,94.1
light,1488393600.0,86.3
light,1488393900.0,67.3
light,1488394200.0,88.6
light,1488394500.0,0.0
light,1488394800.0,0.4
light,1488395100.0,5.0
light,1488395400.0,3.8
light,1488395700.0,3.7
light,1488396000.0,20.9
light,1488396300.0,13.4
light,1488396600.0,17.7
light,1488396900.0,24.8
light,1488397200.0,22.5
light,1488397500.0,20.2
light,1488397800.0,14.1
light,1488398100.0,24.9
light,1488398400.0,24.0
light,1488398700.0,44.0
light,1488399000.0,60.3
light,1488399300.0,57.1
light,1488399600.0,31.6
light,1488399900.0,37.3
light,1488400200.0,35.6
light,1488400500.0,26.6
light,1488400800.0,31.4
light,1488401100.0,36.4
light,1488401400.0,42.7
light,1488401700.0,43.5
light,1488402000.0,74.6
light,1488402300.0,72.6
light,1488402600.0,52.5
light,1488402900.0,55.4
light,1488403200.0,60.1
light,1488403500.0,47.1
light,1488403800.0,48.1
light,1488404100.0,72.2
light,1488404400.0,124.1
light,1488404700.0,163.1
light,1488405000.0,146.9
light,1488405300.0,160.4
light,1488405600.0,125.2
light,1488405900.0,149.4
light,1488406200.0,133.0
light,1488406500.0,114.3
light,1488406800.0,101.5
light,1488407100.0,93.1
light,1488407400.0,106.0
light,1488407700.0,113.6
light,1488408000.0,99.1
light,1488408300.0,106.3
light,1488408600.0,74.0
light,1488408900.0,67.3
light,1488409200.0,75.1
light,1488409500.0,72.7
light,1488409800.0,65.1
light,1488410100.0,50.3
light,1488410400.0,69.9
light,1488410700.0,27.9
light,1488411000.0,84.4
light,1488411300.0,96.1
light,1488411600.0,112.6
light,1488411900.0,82.3
light,1488412200.0,84.2
light,1488412500.0,86.9
light,1488412800.0,127.9
light,1488413100.0,115.3
light,1488413400.0,91.2
light,1488413700.0,110.9
light,1488414000.0,138.2
light,1488414300.0,111.2
light,1488414600.0,101.6
light,1488362400.0,14.1
light,1488362700.0,14.3
light,1488363000.0,0.0
light,1488363300.0,0.0
light,1488363600.0,12.8
light,1488363900.0,4.5
light,1488364200.0,0.0
light,1488364500.0,5.2
light,1488364800.0,11.3
light,1488365100.0,14.1
light,1488365400.0,8.6
light,1488365700.0,14.3
light,1488366000.0,4.8
light,1488366300.0,5.2
light,1488366600.0,0.0
light,1488366900.0,11.9
light,1488367200.0,0.0
light,1488367500.0,2.7
light,1488367800.0,1.2
light,1488368100.0,0.0
light,1488368400.0,1.1
light,1488368700.0,0.7
light,1488369000.0,1.5
light,1488369300.0,6.3
light,1488369600.0,0.0
light,1488369900.0,0.0
light,1488370200.0,4.2
light,1488370500.0,5.3
light,1488370800.0,0.2
light,1488371100.0,0.2
light,1488371400.0,8.1
light,1488371700.0,0.0
light,1488372000.0,12.1
light,1488372300.0,2.4
light,1488372600.0,0.0
light,1488372900.0,14.2
light,1488373200.0,11.9
light,1488373500.0,11.9
light,1488373800.0,13.7
light,1488374100.0,0.2
light,1488374400.0,4.2
light,1488374700.0,0.0
light,1488375000.0,0.0
light,1488375300.0,1.2
light,1488375600.0,11.9
light,1488375900.0,0.1
light,1488376200.0,12.8
light,1488376500.0,0.0
light,1488376800.0,6.7
light,1488377100.0,0.0
light,1488377400.0,0.0
light,1488377700.0,0.0
light,1488378000.0,0.1
light,1488378300.0,13.4
light,1488378600.0,0.0
light,1488378900.0,2.0
light,1488379200.0,4.6
light,1488379500.0,13.7
light,1488379800.0,4.7
light,1488380100.0,14.0
light,1488380400.0,0.0
light,1488380700.0,14.2
light,1488381000.0,7.7
light,1488381300.0,0.0
light,1488381600.0,2.8
light,1488381900.0,0.0
light,1488382200.0,2.4
light,1488382500.0,13.7
